,Title,Published_date,Views,Likes,Comments,Month
571,Demonetization: Final Analysis by Dhruv Rathee | Biggest loss of Money Ever?,2017-09-02,679420,32620,3678,Sep
572,Big Announcement from Dhruv Rathee | YouTube Earnings Revealed,2017-08-29,1148198,55813,4136,Aug
573,Boycott Made in China? | Realistic Solution by Dhruv Rathee,2017-07-30,484634,24913,2278,Jul
574,Left vs Right: Which is best political ideology? | By Dhruv Rathee,2017-07-24,2075090,80835,15779,Jul
575,Dirty Tactics of China Explained by Dhruv Rathee | Sikkim Bhutan Border Standoff,2017-07-16,709909,29447,2366,Jul
576,Propaganda in School Textbooks & Bollywood films | Dhruv Rathee Facebook Live,2017-07-06,379740,21440,2749,Jul
577,How to identify Fake News in India | By Dhruv Rathee,2017-06-29,445700,23175,1234,Jun
578,How to fight Overpopulation in India by Dhruv Rathee,2017-06-17,812788,41772,7014,Jun
579,TRP Ratings Jumla of Republic TV Exposed | Facebook Live with Dhruv Rathee,2017-06-09,377729,21545,2634,Jun
580,3 years of Modi Government Analysis | Exposed by Dhruv Rathee,2017-05-24,921928,32484,6486,May
581,Who is Dhruv Rathee? | Q&A | Indian Journalism and Climate Change,2017-05-17,2699853,131321,8952,May
582,India in 2025 by Dhruv Rathee | Cow Economics,2017-05-07,1820149,95430,8092,May
583,"Ask Dhruv Rathee Anything | 50,000 Thank You | AMA",2017-05-05,259950,12186,2376,May
584,Snapchat Exposed Intolerant Indians & Andh Bhakts | Sonu Nigam | By Dhruv Rathee,2017-04-19,609648,50042,4974,Apr
585,"Machu Picchu 2017, Peru | Travel Wonders of World by Dhruv Rathee",2017-04-11,287831,9824,439,Apr
586,Corruption Legalized! | Finance Bill 2017 Exposed by Dhruv Rathee,2017-03-27,454347,23423,1937,Mar
587,Reality of Yogi Adityanath by Dhruv Rathee | Uttar Pradesh new CM,2017-03-19,9631783,527408,62664,Mar
588,Truth behind EVM Machine Hacking | Electronic Voting Fraud in India by Dhruv Rathee,2017-03-15,2131022,78116,5743,Mar
589,Soldiers against ABVP / BJP (Aftermath of Gurmehar / Ramjas college row) + Announcement,2017-03-09,67844,3988,410,Mar
590,Cow is World's Best Animal | Ep 1 Pee News by Dhruv Rathee [Faking News],2017-01-25,842905,51626,5110,Jan
591,Andh Modi Bhakts Exposed | Reading their logic by Dhruv Rathee,2017-01-11,2122134,134287,16406,Jan
592,Shivaji Memorial Statue Exposed by Dhruv Rathee | Waste of taxpayer's money,2016-12-25,394330,18175,4609,Dec
593,"Good News you missed | Mainstream Media Uncovered | Gold Taj Mahal?, Organic Farming",2016-12-05,248724,14220,763,Dec
594,How to fight Corruption and Black money by Dhruv Rathee | Demonetisation in India Scheme Exposed 2,2016-11-26,191588,8501,640,Nov
595,"The Island of Birds: Islas Ballestas, Paracas, Peru",2016-10-26,81813,1724,106,Oct
596,A True Salute to Soldiers of Indian Army | Republic Day Special,2016-10-15,130249,5454,319,Oct
597,URI: Surgical Strike Proof: Lies and Propoganda of Pakistan Exposed on Video | Special Dussehra,2016-10-05,1857129,63647,7435,Oct
598,BJP IT Cell Exposed: How lies and propaganda are spread | by Dhruv Rathee,2016-09-16,1672517,68156,4166,Sep
599,Inside the Volcano: Going Inside the Thrihnukagigur Volcano in Iceland,2014-07-12,420498,8719,431,Jul
600,Crazy German Water Park: Filmed on iPhone 5s,2014-06-11,784548,23359,1945,Jun
